ruta,fereastra_orara,timestamp_local,t_rel_s,v_kmh,rpm,maf_g_s,sarcina_motor_pct,t_lichid_racire_C,t_aer_admisie_C,t_ambiant_C,altitudine_m,p_galerie_psi,HDOP,a_ms2,dist_cum_m,stationare,clasa_RDE,segment,debit_comb_model_ml_s,comb_cum_l_model,CO2_g_s_model,CO2_g_s_stoich_MAF,debit_comb_fizic_ml_s,CO2_g_s_fizic
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:34,2352,48.076923076922974,1417.1730769230765,19.701538461538405,32.03923076923093,89.0,34.0,21.0,35.23846153846162,16.713076923076876,1.7561649555407866,0.1376,38240.8,0,urban,S4_urban_retur,0.626,1.8294,1.6519,4.2936,0.6931,1.8288
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:35,2353,49.0,1426.0998705780837,20.33390854184638,30.72056082830022,88.66522864538405,34.0,21.0,35.00215703192392,17.160215703192392,1.4737625916288766,0.1282,38254.4,0,urban,S4_urban_retur,0.5889,1.83,1.554,4.4314,0.689,1.818
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:36,2354,49.0,1432.3937032418958,20.39726932668337,28.964114713217786,88.28553615960088,34.0,21.0,35.60024937655877,17.134364089775612,1.8579007885627896,0.0,38268.0,0,urban,S4_urban_retur,0.5228,1.8305,1.3795,4.4452,0.4133,1.0906
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:37,2355,49.0,1423.1466078066896,19.85825278810408,23.296960966542567,89.0,34.0,21.0,34.2428438661709,16.87952602230485,2.651948941940337,0.0571,38281.6,0,urban,S4_urban_retur,0.2273,1.8308,0.5998,4.3277,0.5361,1.4146
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:38,2356,49.41100702576113,1424.3196721311476,19.68258782201405,26.70256440281033,88.58899297423888,34.0,21.0,34.522014051522255,16.731615925058545,2.3634184922234565,0.0915,38295.3,0,urban,S4_urban_retur,0.3967,1.8311,1.0468,4.2894,0.6165,1.6268
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:39,2357,49.65865384615388,1435.9338942307695,19.510240384615383,28.78923076923116,88.34134615384612,34.0,21.0,35.51225961538464,16.39,2.087984988833319,-0.0653,38309.1,0,urban,S4_urban_retur,0.5002,1.8316,1.3198,4.2519,0.2787,0.7354
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:40,2358,48.941176470588005,1429.941176470586,19.51470588235288,21.08000000000117,88.941176470588,34.0,21.0,35.11764705882341,16.39,2.214415644248083,-0.1824,38322.7,0,urban,S4_urban_retur,0.141,1.8318,0.3721,4.2529,0.0694,0.1832
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:41,2359,48.34572864321617,1415.209045226129,19.14553768844218,24.11678391959753,88.34572864321618,34.0,21.0,34.63457286432162,16.338140703517574,1.6250183494395836,0.0082,38336.2,0,urban,S4_urban_retur,0.2913,1.8321,0.7686,4.1724,0.4232,1.1167
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:42,2360,49.0,1409.9058627264087,18.99650142993331,24.43302192564522,89.0,34.0,21.0,34.966158245948655,16.24,1.9395306838328432,0.0424,38349.8,0,urban,S4_urban_retur,0.2941,1.8324,0.776,4.1399,0.5045,1.3312
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:43,2361,48.65116279069751,1409.3895348837154,19.01999999999993,28.069302325579702,89.0,34.34883720930249,21.0,35.22093023255801,16.29232558139537,1.8840371950725987,-0.1389,38363.3,0,urban,S4_urban_retur,0.4548,1.8328,1.2001,4.145,0.1127,0.2974
