ruta,fereastra_orara,timestamp_local,segment,t_rel_s,v_kmh,a_ms2,dist_cum_m,rpm,maf_g_s,sarcina_motor_pct,CO2_g_s_benzina,CO2_g_s_diesel,stationare,clasa_RDE,strada,tip_drum_OSM,dist_map_match_m
RUTA_A,11-13,2026-04-02 11:49:09,11:47,72,0.0,-0.02,70.1,802.0,2.506,2.8,0.5404,0.5461,1,urban,Strada Țepeș Vodă,residential,8.3
RUTA_A,11-13,2026-04-02 11:49:10,11:47,73,0.0,0.0,70.1,791.0,2.458,2.8,0.53,0.5357,1,urban,Strada Țepeș Vodă,residential,9.3
RUTA_A,11-13,2026-04-02 11:49:11,11:47,74,0.0,0.0,70.1,789.0,2.498,2.8,0.5386,0.5443,1,urban,Strada Țepeș Vodă,residential,9.6
RUTA_A,11-13,2026-04-02 11:49:12,11:47,75,0.0,0.0,70.1,788.0,2.51,2.8,0.5414,0.5471,1,urban,Strada Țepeș Vodă,residential,9.7
RUTA_A,11-13,2026-04-02 11:49:13,11:47,76,0.0,0.0,70.1,787.0,2.489,2.8,0.5367,0.5424,1,urban,Strada Țepeș Vodă,residential,9.8
RUTA_A,11-13,2026-04-02 11:49:14,11:47,77,0.0,0.0,70.1,789.0,2.497,2.6,0.5384,0.5441,1,urban,Strada Țepeș Vodă,residential,9.9
RUTA_A,11-13,2026-04-02 11:49:15,11:47,78,0.0,0.0,70.1,794.0,2.525,2.4,0.5445,0.5502,1,urban,Strada Țepeș Vodă,residential,10.0
RUTA_A,11-13,2026-04-02 11:49:16,11:47,79,0.0,0.0,70.1,789.0,2.495,2.5,0.5381,0.5438,1,urban,Strada Țepeș Vodă,residential,10.0
RUTA_A,11-13,2026-04-02 11:49:17,11:47,80,0.0,0.0,70.1,783.0,2.462,2.8,0.5309,0.5365,1,urban,Strada Țepeș Vodă,residential,10.0
RUTA_A,11-13,2026-04-02 11:49:18,11:47,81,0.0,0.0,70.1,786.0,2.473,2.8,0.5334,0.539,1,urban,Strada Țepeș Vodă,residential,10.0
RUTA_A,11-13,2026-04-02 11:49:19,11:47,82,0.0,0.0,70.1,930.0,3.614,3.3,0.7793,0.7875,1,urban,Strada Țepeș Vodă,residential,10.0
RUTA_A,11-13,2026-04-02 11:49:20,11:47,83,0.0,0.094,70.1,1268.0,6.3,4.6,1.3585,1.3729,1,urban,Strada Țepeș Vodă,residential,10.0
RUTA_A,11-13,2026-04-02 11:49:21,11:47,84,0.68,0.248,70.3,1276.0,5.811,6.6,1.2532,1.2665,1,urban,Strada Țepeș Vodă,residential,10.4
RUTA_A,11-13,2026-04-02 11:49:22,11:47,85,1.79,0.501,70.8,1074.0,3.285,9.0,0.7084,0.7159,0,urban,Strada Țepeș Vodă,residential,10.7
RUTA_A,11-13,2026-04-02 11:49:23,11:47,86,4.28,0.733,72.0,993.0,4.458,8.3,0.9614,0.9715,0,urban,Strada Țepeș Vodă,residential,9.7
RUTA_A,11-13,2026-04-02 11:49:24,11:47,87,7.07,0.621,74.0,951.0,6.414,7.1,1.3831,1.3977,0,urban,Strada Țepeș Vodă,residential,8.6
RUTA_A,11-13,2026-04-02 11:49:25,11:47,88,8.76,0.428,76.4,1161.0,5.991,7.5,1.292,1.3057,0,urban,Strada Țepeș Vodă,residential,6.4
RUTA_A,11-13,2026-04-02 11:49:26,11:47,89,10.15,0.273,79.2,1299.0,5.248,7.1,1.1317,1.1437,0,urban,Strada Țepeș Vodă,residential,4.0
RUTA_A,11-13,2026-04-02 11:49:27,11:47,90,10.72,0.118,82.2,1238.0,3.605,4.2,0.7774,0.7856,0,urban,Strada Țepeș Vodă,residential,0.7
RUTA_A,11-13,2026-04-02 11:49:28,11:47,91,11.0,0.039,85.3,1128.0,2.702,2.6,0.5827,0.5888,0,urban,Strada Țepeș Vodă,residential,2.0
RUTA_A,11-13,2026-04-02 11:49:29,11:47,92,11.0,-0.184,88.3,972.0,2.51,2.4,0.5412,0.5469,0,urban,Strada Țepeș Vodă,residential,3.8
RUTA_A,11-13,2026-04-02 11:49:30,11:47,93,9.68,-0.421,91.0,896.0,2.442,2.4,0.5267,0.5323,0,urban,Strada Țepeș Vodă,residential,7.1
RUTA_A,11-13,2026-04-02 11:49:31,11:47,94,7.97,-0.316,93.2,850.0,2.422,2.4,0.5222,0.5278,0,urban,Strada Țepeș Vodă,residential,10.6
RUTA_A,11-13,2026-04-02 11:49:32,11:47,95,7.4,-0.156,95.3,831.0,2.45,2.4,0.5283,0.5339,0,urban,Strada Țepeș Vodă,residential,7.8
RUTA_A,11-13,2026-04-02 11:49:33,11:47,96,6.84,-0.156,97.2,810.0,2.453,2.4,0.5289,0.5345,0,urban,Strada Țepeș Vodă,residential,5.1
RUTA_A,11-13,2026-04-02 11:49:34,11:47,97,6.28,-0.156,98.9,787.0,2.391,2.4,0.5156,0.5211,0,urban,Strada Țepeș Vodă,residential,2.8
RUTA_A,11-13,2026-04-02 11:49:35,11:47,98,5.72,-0.155,100.5,780.0,2.388,2.4,0.5149,0.5204,0,urban,Strada Țepeș Vodă,residential,1.4
RUTA_A,11-13,2026-04-02 11:49:36,11:47,99,5.16,-0.214,101.9,790.0,2.444,2.4,0.527,0.5326,0,urban,Strada Țepeș Vodă,residential,1.0
RUTA_A,11-13,2026-04-02 11:49:37,11:47,100,4.18,-0.295,103.1,790.0,2.444,2.4,0.527,0.5326,0,urban,Strada Țepeș Vodă,residential,1.7
RUTA_A,11-13,2026-04-02 11:49:38,11:47,101,3.03,-0.375,104.0,787.0,2.421,2.4,0.522,0.5275,0,urban,Strada Țepeș Vodă,residential,2.9
RUTA_A,11-13,2026-04-02 11:49:39,11:47,102,1.48,-0.421,104.4,792.0,2.41,2.4,0.5197,0.5252,0,urban,Strada Țepeș Vodă,residential,3.3
RUTA_A,11-13,2026-04-02 11:49:40,11:47,103,0.0,-0.206,104.4,796.0,2.401,2.4,0.5178,0.5232,1,urban,Strada Țepeș Vodă,residential,3.8
RUTA_A,11-13,2026-04-02 11:49:41,11:47,104,0.0,0.0,104.4,796.0,2.419,2.4,0.5216,0.5272,1,urban,Strada Țepeș Vodă,residential,3.7
RUTA_A,11-13,2026-04-02 11:49:42,11:47,105,0.0,0.0,104.4,792.0,2.414,2.4,0.5206,0.5261,1,urban,Strada Țepeș Vodă,residential,3.9
RUTA_A,11-13,2026-04-02 11:49:43,11:47,106,0.0,0.0,104.4,784.0,2.373,2.4,0.5117,0.5172,1,urban,Strada Țepeș Vodă,residential,4.1
RUTA_A,11-13,2026-04-02 11:49:44,11:47,107,0.0,0.0,104.4,783.0,2.363,2.4,0.5096,0.515,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:45,11:47,108,0.0,0.0,104.4,786.0,2.367,2.4,0.5105,0.5159,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:46,11:47,109,0.0,0.0,104.4,788.0,2.369,2.4,0.5108,0.5162,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:47,11:47,110,0.0,0.0,104.4,788.0,2.365,2.4,0.51,0.5154,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:48,11:47,111,0.0,0.0,104.4,787.0,2.362,2.4,0.5093,0.5147,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:49,11:47,112,0.0,0.0,104.4,786.0,2.358,2.4,0.5085,0.5139,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:50,11:47,113,0.0,0.0,104.4,784.0,2.354,2.4,0.5076,0.513,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:51,11:47,114,0.0,0.0,104.4,781.0,2.35,2.4,0.5067,0.5121,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:52,11:47,115,0.0,0.0,104.4,782.0,2.338,2.4,0.5042,0.5095,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:53,11:47,116,0.0,0.0,104.4,783.0,2.326,2.4,0.5016,0.507,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:54,11:47,117,0.0,0.0,104.4,789.0,2.355,2.5,0.5079,0.5133,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:55,11:47,118,0.0,0.0,104.4,798.0,2.431,3.0,0.5242,0.5298,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:56,11:47,119,0.0,0.143,104.4,808.0,2.507,3.4,0.5406,0.5463,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:49:57,11:47,120,1.03,0.349,104.6,915.0,3.748,5.4,0.8083,0.8169,0,urban,Strada Țepeș Vodă,residential,4.8
RUTA_A,11-13,2026-04-02 11:49:58,11:47,121,2.51,0.651,105.3,1065.0,5.509,8.1,1.188,1.2006,0,urban,Strada Țepeș Vodă,residential,5.9
RUTA_A,11-13,2026-04-02 11:49:59,11:47,122,5.71,1.007,106.9,1156.0,6.222,8.1,1.3417,1.3559,0,urban,Strada Țepeș Vodă,residential,7.5
RUTA_A,11-13,2026-04-02 11:50:00,11:47,123,9.76,0.596,109.6,1219.0,6.418,6.8,1.3841,1.3987,0,urban,Strada Țepeș Vodă,residential,9.3
RUTA_A,11-13,2026-04-02 11:50:01,11:47,124,10.0,0.005,112.4,1216.0,4.485,4.6,0.9671,0.9773,0,urban,Strada Țepeș Vodă,residential,9.1
RUTA_A,11-13,2026-04-02 11:50:02,11:47,125,9.79,-0.183,115.1,1183.0,2.761,2.7,0.5953,0.6016,0,urban,Strada Țepeș Vodă,residential,6.0
